Method,Chunks,Avg_Tokens,Token_Std,Min_Tokens,Max_Tokens,Total_Tokens
Fixed_256_0,328,190.47865853658536,89.61077506615247,1,258,62477
Fixed_256_64,388,203.8840206185567,81.55890573986456,24,258,79107
Fixed_256_128,510,218.34901960784313,72.70107848418978,24,258,111358
Fixed_512_0,221,282.71945701357464,215.64950411709623,1,514,62481
Fixed_512_64,236,294.04237288135596,211.06599474273992,24,514,69394
Fixed_512_128,248,313.81048387096774,206.92777776961,24,513,77825
Fixed_1024_0,168,371.8988095238095,427.9167787343613,1,1025,62479
Fixed_1024_64,170,383.3235294117647,426.6105760105038,24,1026,65165
Fixed_1024_128,172,396.00581395348837,426.67870240085455,24,1025,68113
Semantic,698,89.4297994269341,141.4233471653654,2,789,62422
Structural,43,356.74418604651163,171.7392687176882,32,516,15340
Recursive,185,329.1135135135135,162.88434988975024,32,718,60886
